,icon,precipIntensity,temperature,windSpeed,visibility,nyc_time,year,month,day,hour
198,cloudy,0.0,-4.98888888888889,11.39,9.997,09/01/2015 06:00,2015,1,9,6
199,fog,0.0,-5.994444444444444,4.82,0.752,09/01/2015 07:00,2015,1,9,7
200,fog,0.0,-5.583333333333333,3.98,0.827,09/01/2015 08:00,2015,1,9,8
201,cloudy,0.0,-5.583333333333333,11.39,5.0,09/01/2015 09:00,2015,1,9,9
202,cloudy,0.0,-4.411111111111111,11.39,8.996,09/01/2015 10:00,2015,1,9,10
203,partly-cloudy,0.0,-3.2944444444444443,5.54,9.997,09/01/2015 11:00,2015,1,9,11
204,partly-cloudy,0.0,-0.5833333333333337,6.33,9.997,09/01/2015 12:00,2015,1,9,12
205,partly-cloudy,0.0,-0.5833333333333337,8.08,9.997,09/01/2015 13:00,2015,1,9,13
206,partly-cloudy,0.0,0.011111111111112848,6.95,9.997,09/01/2015 14:00,2015,1,9,14
207,partly-cloudy,0.0,-0.5833333333333337,6.35,9.997,09/01/2015 15:00,2015,1,9,15
208,partly-cloudy,0.0,-1.1055555555555547,16.1,9.997,09/01/2015 16:00,2015,1,9,16
209,partly-cloudy,0.0,-1.7055555555555557,9.18,9.997,09/01/2015 17:00,2015,1,9,17
210,clear,0.0,-1.7055555555555557,11.39,9.997,09/01/2015 18:00,2015,1,9,18
211,clear,0.0,-2.1888888888888896,6.11,9.997,09/01/2015 19:00,2015,1,9,19
212,clear,0.0,-2.7888888888888888,5.91,9.997,09/01/2015 20:00,2015,1,9,20
213,clear,0.0,-3.9166666666666665,12.76,9.997,09/01/2015 21:00,2015,1,9,21
214,clear,0.0,-4.411111111111111,5.91,9.997,09/01/2015 22:00,2015,1,9,22
215,clear,0.0,-4.98888888888889,13.88,9.997,09/01/2015 23:00,2015,1,9,23
216,clear,0.0,-6.111111111111111,12.76,9.997,10/01/2015 00:00,2015,1,10,0
217,clear,0.0,-6.683333333333334,5.45,9.997,10/01/2015 01:00,2015,1,10,1
218,clear,0.0,-6.683333333333334,12.76,9.997,10/01/2015 02:00,2015,1,10,2
219,clear,0.0,-7.794444444444445,10.29,9.997,10/01/2015 03:00,2015,1,10,3
220,clear,0.0,-8.277777777777779,13.88,9.997,10/01/2015 04:00,2015,1,10,4
221,clear,0.0,-8.899999999999999,9.18,9.997,10/01/2015 05:00,2015,1,10,5
222,clear,0.0,-8.899999999999999,5.52,9.997,10/01/2015 06:00,2015,1,10,6
223,clear,0.0,-9.405555555555557,13.88,9.997,10/01/2015 07:00,2015,1,10,7
224,clear,0.0,-9.405555555555557,11.39,9.997,10/01/2015 08:00,2015,1,10,8
225,clear,0.0,-8.899999999999999,12.76,9.997,10/01/2015 09:00,2015,1,10,9
226,clear,0.0,-7.794444444444445,6.21,9.997,10/01/2015 10:00,2015,1,10,10
227,clear,0.0,-7.194444444444445,14.99,9.997,10/01/2015 11:00,2015,1,10,11
228,clear,0.0,-6.683333333333334,5.64,9.997,10/01/2015 12:00,2015,1,10,12
229,clear,0.0,-6.111111111111111,12.76,9.997,10/01/2015 13:00,2015,1,10,13
230,clear,0.0,-5.583333333333333,4.75,9.997,10/01/2015 14:00,2015,1,10,14
231,clear,0.0,-4.98888888888889,4.82,9.997,10/01/2015 15:00,2015,1,10,15
232,clear,0.0,-5.583333333333333,4.94,9.997,10/01/2015 16:00,2015,1,10,16
233,clear,0.0,-6.683333333333334,12.76,9.997,10/01/2015 17:00,2015,1,10,17
234,clear,0.0,-7.194444444444445,11.39,9.997,10/01/2015 18:00,2015,1,10,18
235,clear,0.0,-7.794444444444445,3.13,9.997,10/01/2015 19:00,2015,1,10,19
236,clear,0.0,-8.277777777777779,12.76,9.997,10/01/2015 20:00,2015,1,10,20
237,clear,0.0,-8.277777777777779,14.99,9.997,10/01/2015 21:00,2015,1,10,21
238,clear,0.0,-8.899999999999999,9.18,9.997,10/01/2015 22:00,2015,1,10,22
239,clear,0.0,-9.405555555555557,9.18,9.997,10/01/2015 23:00,2015,1,10,23
240,clear,0.0,-9.405555555555557,3.05,9.997,11/01/2015 00:00,2015,1,11,0
241,clear,0.0,-8.899999999999999,9.18,9.997,11/01/2015 01:00,2015,1,11,1
242,partly-cloudy,0.0,-8.899999999999999,8.05,9.997,11/01/2015 02:00,2015,1,11,2
243,partly-cloudy,0.0,-8.277777777777779,6.93,9.997,11/01/2015 03:00,2015,1,11,3
244,clear,0.0,-8.277777777777779,3.36,9.997,11/01/2015 04:00,2015,1,11,4
245,clear,0.0,-8.277777777777779,3.36,9.997,11/01/2015 05:00,2015,1,11,5
246,cloudy,0.0,-7.794444444444445,3.36,9.997,11/01/2015 06:00,2015,1,11,6
247,partly-cloudy,0.0,-8.277777777777779,3.36,9.997,11/01/2015 07:00,2015,1,11,7
248,partly-cloudy,0.0,-8.277777777777779,0.0,9.997,11/01/2015 08:00,2015,1,11,8
249,partly-cloudy,0.0,-5.583333333333333,1.3,9.997,11/01/2015 09:00,2015,1,11,9
250,partly-cloudy,0.0,-4.411111111111111,2.19,9.997,11/01/2015 10:00,2015,1,11,10
251,cloudy,0.0,-3.2944444444444443,5.82,9.997,11/01/2015 11:00,2015,1,11,11
252,cloudy,0.0,-1.1055555555555547,2.27,9.997,11/01/2015 12:00,2015,1,11,12
253,cloudy,0.0,0.011111111111112848,6.93,9.997,11/01/2015 13:00,2015,1,11,13
254,partly-cloudy,0.0,2.7999999999999994,3.47,9.997,11/01/2015 14:00,2015,1,11,14
255,partly-cloudy,0.0,2.7999999999999994,4.33,9.997,11/01/2015 15:00,2015,1,11,15
256,partly-cloudy,0.0,2.205555555555555,3.44,9.997,11/01/2015 16:00,2015,1,11,16
257,partly-cloudy,0.0,1.7055555555555557,2.97,9.997,11/01/2015 17:00,2015,1,11,17
258,partly-cloudy,0.0,1.7055555555555557,1.41,9.997,11/01/2015 18:00,2015,1,11,18
